id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,url,rss_url,domain,seniority,state,district,missed_votes_pct,votes_with_party_pct
S000185,1037,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000185.json,Robert,C.,Scott,D,repbobbyscott,CongressmanBobbyScott,123839200978190,http://www.bobbyscott.house.gov/,http://www.bobbyscott.house.gov/index.php?format=feed&type=rss,www.bobbyscott.house.gov,16,VA,3,1.12,97.41
S000244,1041,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000244.json,F.,James,Sensenbrenner,R,JimPressOffice,RepSensenbrenner,,http://sensenbrenner.house.gov/,http://sensenbrenner.house.gov/news/rss.aspx,sensenbrenner.house.gov,30,WI,5,1.92,88.47
S000248,1042,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000248.json,José,E.,Serrano,D,repjoseserrano,RepJoseSerrano,273446508512,http://serrano.house.gov,http://serrano.house.gov/rss.xml,serrano.house.gov,20,NY,16,1.01,96.50
S000250,1525,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000250.json,Pete,,Sessions,R,petesessions,petesessions,367963843082,http://sessions.house.gov/,http://sessions.house.gov/?a=RSS.Feed,sessions.house.gov,12,TX,32,10.13,91.39
S000275,1043,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000275.json,John,,Shadegg,R,,,,,,,14,AZ,3,2.19,87.90
S000344,1526,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000344.json,Brad,,Sherman,D,BradSherman,63158229861,63158229861,http://bradsherman.house.gov,http://bradsherman.house.gov/atom.xml,bradsherman.house.gov,12,CA,27,1.23,96.60
S000364,1527,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000364.json,John,,Shimkus,R,RepShimkus,repshimkus,123916254317516,http://shimkus.house.gov,http://shimkus.house.gov/rss.xml,shimkus.house.gov,12,IL,19,5.60,89.49
S000465,1064,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000465.json,Ike,,Skelton,D,,,,,,,32,MO,4,2.29,95.14
S000480,1069,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000480.json,Louise,M.,Slaughter,D,louiseslaughter,RepLouiseSlaughter,82424647700,http://www.louise.house.gov,http://www.louise.house.gov/index.php?format=feed&type=rss,www.louise.house.gov,22,NY,28,4.48,97.10
S000510,1528,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000510.json,Adam,,Smith,D,Rep_Adam_Smith,RepAdamSmith,288586617834523,http://adamsmith.house.gov/,http://adamsmith.house.gov/news/rss.aspx,adamsmith.house.gov,12,WA,9,5.28,95.50
S000522,1071,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000522.json,Christopher,H.,Smith,R,,,,http://chrissmith.house.gov,http://chrissmith.house.gov/News/Rss.aspx,chrissmith.house.gov,28,NJ,4,1.92,76.67
S000583,1075,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000583.json,Lamar,,Smith,R,LamarSmithTX21,LamarSmithTX21,107736785195,http://lamarsmith.house.gov,http://lamarsmith.house.gov/news/rss.aspx,lamarsmith.house.gov,22,TX,21,2.40,94.15
S000672,1530,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000672.json,Vic,,Snyder,D,,,,,,,12,AR,2,3.20,96.31
S000749,1092,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000749.json,John,M.,"Spratt Jr.",D,,,,,,,26,SC,5,2.13,96.19
S000810,1101,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000810.json,Pete,,Stark,D,petestark,,,,,,36,CA,13,10.19,92.87
S000822,1103,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S000822.json,Cliff,,Stearns,R,RepCliffStearns,,,,,,20,FL,6,0.85,89.73
S001045,1123,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001045.json,Bart,,Stupak,D,,,,,,,16,MI,1,2.83,93.85
S001143,1089,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001143.json,Mark,,Souder,R,,,,,,,14,IN,3,6.61,89.95
S001144,1048,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001144.json,Christopher,H.,Shays,R,,,,,,,22,CT,4,5.17,78.29
S001145,1588,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001145.json,Jan,,Schakowsky,D,janschakowsky,janschakowsky,160143957118,http://schakowsky.house.gov/,http://schakowsky.house.gov/index.php?format=feed&type=rss,schakowsky.house.gov,10,IL,9,1.12,96.55
